Date,Impressions,Clicks
2020-09-12,43191,1710.0
2020-09-13,25932,1356.0
2020-09-14,34855,2683.0
2020-09-15,12158,1075.0
2020-09-16,48016,2354.0
2020-09-17,12400,172.0
2020-09-18,47642,1169.0
2020-09-19,20151,239.0
2020-09-20,6154,423.0
2020-09-21,9499,379.0
2020-09-22,11295,664.0
2020-09-23,17183,934.0
2020-09-24,34299,594.0
2020-09-25,17874,827.0
2020-09-26,37711,1125.0
2020-09-27,10539,502.0
2020-09-28,47405,1342.0
2020-09-29,7557,647.0
2020-09-30,43360,1113.0
2020-10-01,21482,2072.0
2020-10-02,7200,341.0
2020-10-03,7961,685.0
2020-10-04,26357,1755.0
2020-10-05,16969,1292.0
2020-10-06,7869,622.0
2020-10-07,33643,1865.0
2020-10-08,29736,1751.0
2020-10-09,43467,2445.0
2020-10-10,28328,1782.0
2020-10-11,30876,390.0
2020-10-12,26295,1198.0
2020-10-13,8987,580.0
2020-10-14,27399,1747.0
2020-10-15,38986,3172.0
2020-10-16,25880,1784.0
2020-10-17,9735,966.0
2020-10-18,49064,1744.0
2020-10-19,9555,404.0
2020-10-20,46914,2089.0
2020-10-21,45818,2379.0
2020-10-22,24830,2116.0
2020-10-23,22429,700.0
2020-10-24,11893,949.0
2020-10-25,19373,900.0
2020-10-26,8436,541.0
2020-10-27,13754,920.0
2020-10-28,15677,682.0
2020-10-29,10895,611.0
2020-10-30,24738,1166.0
2020-10-31,35746,579.0
2020-11-01,37352,1843.0
2020-11-02,44790,840.0
2020-11-03,46919,2179.0
2020-11-04,10600,671.0
2020-11-05,34124,2120.0
2020-11-06,32643,2273.0
2020-11-07,45764,849.0
2020-11-08,14007,962.0
2020-11-09,42410,1615.0
2020-11-10,49080,2253.0
2020-11-11,45447,3963.0
2020-11-12,13208,142.0
2020-11-13,23589,1485.0
2020-11-14,48484,3097.0
2020-11-15,22453,1026.0
2020-11-16,41212,1291.0
2020-11-17,48525,1510.0
2020-11-18,37635,3369.0
2020-11-19,38828,1932.0
2020-11-20,23711,943.0
2020-11-21,8420,424.0
2020-11-22,36216,2543.0
2020-11-23,5301,122.0
2020-11-24,5699,287.0
2020-11-25,5190,326.0
2020-11-26,15492,1477.0
2020-11-27,40743,1333.0
2020-11-28,11102,469.0
2020-11-29,24778,1093.0
2020-11-30,31641,2040.0
2020-12-01,39584,1666.0
2020-12-02,37745,2189.0
2020-12-03,28093,2257.0
2020-12-04,5569,409.0
2020-12-05,43210,2167.0
2020-12-06,39663,3481.0
2020-12-07,41631,2507.0
2020-12-08,12455,729.0
2020-12-09,9014,117.0
2020-12-10,16093,1590.0
2020-12-11,23070,486.0
2020-12-12,40777,1256.0
2020-12-13,21538,315.0
2020-12-14,15729,1063.0
2020-12-15,39177,1184.0
2020-12-16,5784,151.0
2020-12-17,32751,588.0
2020-12-18,45864,885.0
2020-12-19,45328,2838.0
2020-12-20,17533,1261.0
2020-12-21,45111,2064.0
2020-12-22,44974,2392.0
2020-12-23,10801,774.0
2020-12-24,24190,279.0
2020-12-25,43754,1709.0
2020-12-26,34592,3375.0
2020-12-27,15647,973.0
2020-12-28,13716,450.0
2020-12-29,28355,1614.0
2020-12-30,27009,1103.0
2020-12-31,29376,1700.0
2021-01-01,9780,208.0
2021-01-02,7368,161.0
2021-01-03,17039,390.0
2021-01-04,11655,1102.0
2021-01-05,45941,3489.0
2021-01-06,9495,233.0
2021-01-07,15893,428.0
2021-01-08,30547,2314.0
2021-01-09,27386,658.0
2021-01-10,18403,572.0
2021-01-11,37097,3587.0
2021-01-12,18121,597.0
2021-01-13,15966,1110.0
2021-01-14,38621,3787.0
2021-01-15,33312,1455.0
2021-01-16,27677,320.0
2021-01-17,36289,1160.0
2021-01-18,36024,3054.0
2021-01-19,47675,4186.0
2021-01-20,9777,774.0
2021-01-21,34749,701.0
2021-01-22,20338,1659.0
2021-01-23,7491,694.0
2021-01-24,32236,2064.0
2021-01-25,19599,1855.0
2021-01-26,24508,2068.0
2021-01-27,8051,563.0
2021-01-28,26606,1648.0
2021-01-29,26699,1104.0
2021-01-30,5876,142.0
2021-01-31,37093,2390.0
2021-02-01,9142,353.0
2021-02-02,20202,1777.0
2021-02-03,44734,4446.0
2021-02-04,12079,938.0
2021-02-05,12987,235.0
2021-02-06,44567,1603.0
2021-02-07,33940,672.0
2021-02-08,42233,2894.0
2021-02-09,22019,1736.0
2021-02-10,23077,2153.0
2021-02-11,31258,1545.0
2021-02-12,26136,2381.0
2021-02-13,13311,1184.0
2021-02-14,22214,856.0
2021-02-15,19098,1684.0
2021-02-16,33251,1456.0
2021-02-17,42945,1576.0
2021-02-18,30945,2117.0
2021-02-19,30316,1199.0
2021-02-20,37217,2483.0
2021-02-21,13308,863.0
2021-02-22,10949,664.0
2021-02-23,6150,272.0
2021-02-24,28944,1718.0
2021-02-25,39699,2528.0
2021-02-26,14204,839.0
2021-02-27,6081,304.0
2021-02-28,34305,388.0
2021-03-01,21896,1375.0
2021-03-02,12805,322.0
2021-03-03,10237,694.0
2021-03-04,25056,1962.0
2021-03-05,8343,459.0
2021-03-06,18500,1088.0
2021-03-07,34375,3287.0
2021-03-08,14662,1264.0
2021-03-09,21964,2026.0
2021-03-10,13130,1092.0
2021-03-11,24531,485.0
2021-03-12,6679,156.0
2021-03-13,8506,488.0
2021-03-14,18284,587.0
2021-03-15,12253,648.0
2021-03-16,24128,1097.0
2021-03-17,32932,1957.0
2021-03-18,14435,1114.0
2021-03-19,49078,3651.0
2021-03-20,18296,1041.0
2021-03-21,35445,2977.0
2021-03-22,18245,889.0
2021-03-23,34124,3095.0
2021-03-24,34899,572.0
2021-03-25,48919,4692.0
2021-03-26,48225,3323.0
2021-03-27,40247,1779.0
2021-03-28,34222,949.0
2021-03-29,31211,1658.0
2021-03-30,42220,1161.0
2021-03-31,31646,790.0
2021-04-01,43649,2861.0
2021-04-02,28049,1600.0
2021-04-03,19069,1340.0
2021-04-04,37580,3519.0
2021-04-05,36843,2133.0
2021-04-06,7849,488.0
2021-04-07,45158,815.0
2021-04-08,28289,2109.0
2021-04-09,49690,2285.0
2021-04-10,40257,3941.0
2021-04-11,14823,1246.0
2021-04-12,46975,2678.0
2021-04-13,14540,306.0
2021-04-14,21364,1866.0
2021-04-15,9611,787.0
2021-04-16,32663,869.0
2021-04-17,43646,1596.0
2021-04-18,35977,2928.0
2021-04-19,34168,911.0
2021-04-20,30471,2821.0
2021-04-21,27687,1334.0
2021-04-22,5851,104.0
2021-04-23,23071,1924.0
2021-04-24,11833,516.0
2021-04-25,16938,971.0
2021-04-26,40195,808.0
2021-04-27,31144,318.0
2021-04-28,9000,606.0
2021-04-29,10052,566.0
2021-04-30,40506,2568.0
2021-05-01,33074,2693.0
2021-05-02,43155,2942.0
2021-05-03,45770,1177.0
2021-05-04,37320,1584.0
2021-05-05,43304,3963.0
2021-05-06,8913,706.0
2021-05-07,22450,1349.0
2021-05-08,29107,960.0
2021-05-09,25764,958.0
2021-05-10,48404,3672.0
2021-05-11,25491,2207.0
2021-05-12,43494,3063.0
2021-05-13,8373,693.0
2021-05-14,17161,1355.0
2021-05-15,36996,868.0
2021-05-16,32122,1546.0
2021-05-17,39850,947.0
2021-05-18,32350,1008.0
2021-05-19,32472,2865.0
2021-05-20,33761,1774.0
2021-05-21,30351,1765.0
2021-05-22,28132,733.0
2021-05-23,20305,773.0
2021-05-24,14817,455.0
2021-05-25,16261,464.0
2021-05-26,5417,365.0
2021-05-27,46576,1542.0
2021-05-28,25358,1695.0
2021-05-29,8267,126.0
2021-05-30,22209,505.0
2021-05-31,29052,1008.0
2021-06-01,43513,2773.0
2021-06-02,31092,2202.0
2021-06-03,16338,814.0
2021-06-04,5412,271.0
2021-06-05,12543,943.0
2021-06-06,45355,518.0
2021-06-07,38496,1566.0
2021-06-08,28548,2389.0
2021-06-09,32384,2081.0
2021-06-10,49425,1994.0
2021-06-11,43756,4003.0
2021-06-12,23888,1899.0
2021-06-13,40735,1378.0
2021-06-14,22506,1532.0
2021-06-15,25463,1619.0
2021-06-16,22955,1058.0
2021-06-17,42841,1843.0
2021-06-18,10104,413.0
2021-06-19,39911,2615.0
2021-06-20,28190,1404.0
2021-06-21,12357,1048.0
2021-06-22,37479,2633.0
2021-06-23,49811,811.0
2021-06-24,41208,2786.0
2021-06-25,25150,865.0
2021-06-26,10644,674.0
2021-06-27,48286,3438.0
2021-06-28,7914,243.0
2021-06-29,26352,1347.0
2021-06-30,49912,1354.0
2021-07-01,19397,285.0
2021-07-02,46555,2051.0
2021-07-03,5728,244.0
2021-07-04,5698,567.0
2021-07-05,44954,2255.0
2021-07-06,18923,757.0
2021-07-07,21779,1355.0
2021-07-08,12400,223.0
2021-07-09,29466,2844.0
2021-07-10,41939,2816.0
2021-07-11,9360,729.0
2021-07-12,40270,1020.0
2021-07-13,22101,1035.0
2021-07-14,37307,1792.0
2021-07-15,10486,880.0
2021-07-16,13335,134.0
2021-07-17,26364,977.0
2021-07-18,42259,4154.0
2021-07-19,28576,1507.0
2021-07-20,36667,1629.0
2021-07-21,16130,335.0
2021-07-22,26972,2634.0
2021-07-23,45419,536.0
2021-07-24,6167,470.0
2021-07-25,32192,2548.0
2021-07-26,6062,193.0
2021-07-27,23540,1658.0
2021-07-28,29244,537.0
2021-07-29,26545,879.0
2021-07-30,26689,2159.0
2021-07-31,16174,1420.0
2021-08-01,27925,1808.0
2021-08-02,42497,2363.0
2021-08-03,14348,349.0
2021-08-04,28714,450.0
2021-08-05,43102,887.0
2021-08-06,13924,424.0
2021-08-07,42098,1715.0
2021-08-08,29394,1301.0
2021-08-09,11801,485.0
2021-08-10,42614,1342.0
2021-08-11,11731,655.0
2021-08-12,28625,2412.0
2021-08-13,22337,785.0
2021-08-14,40307,3821.0
2021-08-15,12056,1068.0
2021-08-16,16516,405.0
2021-08-17,49261,3978.0
2021-08-18,6542,403.0
2021-08-19,26677,1627.0
2021-08-20,44081,1992.0
2021-08-21,32569,1794.0
2021-08-22,28322,1295.0
2021-08-23,24065,1409.0
2021-08-24,22924,1524.0
2021-08-25,27556,1947.0
2021-08-26,31962,1851.0
2021-08-27,33295,2494.0
2021-08-28,18807,427.0
2021-08-29,47348,1376.0
2021-08-30,31432,2630.0
2021-08-31,22749,887.0
2021-09-01,46459,560.0
2021-09-02,31256,745.0
2021-09-03,45262,1363.0
2021-09-04,42080,4046.0
2021-09-05,6324,389.0
2021-09-06,30731,2887.0
2021-09-07,40909,2526.0
2021-09-08,28803,1530.0
2021-09-09,24870,950.0
2021-09-10,39578,2555.0
2021-09-11,11588,261.0
2021-09-12,43069,3912.0
2021-09-13,31790,2690.0
2021-09-14,30289,1168.0
2021-09-15,33178,3176.0
2021-09-16,33710,2840.0
2021-09-17,20485,1433.0
2021-09-18,49482,1037.0
2021-09-19,25652,1360.0
2021-09-20,9748,541.0
2021-09-21,26233,811.0
2021-09-22,14435,248.0
2021-09-23,8709,695.0
2021-09-24,35355,741.0
2021-09-25,18116,1150.0
2021-09-26,30470,2872.0
2021-09-27,47344,4206.0
2021-09-28,47918,1677.0
2021-09-29,44298,3837.0
2021-09-30,47956,480.0
2021-10-01,19683,228.0
2021-10-02,5504,353.0
2021-10-03,38982,1669.0
2021-10-04,39299,1759.0
2021-10-05,33016,2007.0
2021-10-06,28960,789.0
2021-10-07,38591,1121.0
2021-10-08,22312,1196.0
2021-10-09,42797,3333.0
2021-10-10,7105,467.0
2021-10-11,41395,1521.0
2021-10-12,27700,1349.0
2021-10-13,39620,1004.0
2021-10-14,42678,713.0
2021-10-15,25559,2056.0
2021-10-16,32509,1101.0
2021-10-17,32860,854.0
2021-10-18,16003,1156.0
2021-10-19,26732,1754.0
2021-10-20,30826,2064.0
2021-10-21,35354,1081.0
2021-10-22,18843,582.0
2021-10-23,49472,1477.0
2021-10-24,11190,286.0
2021-10-25,22640,1562.0
2021-10-26,43413,3747.0
2021-10-27,47356,3560.0
2021-10-28,49597,4031.0
2021-10-29,45821,2127.0
2021-10-30,8330,573.0
2021-10-31,24087,1008.0
2021-11-01,46430,2660.0
2021-11-02,29504,1573.0
2021-11-03,12114,313.0
2021-11-04,18323,821.0
2021-11-05,39121,3784.0
2021-11-06,15975,517.0
2021-11-07,16023,353.0
2021-11-08,26447,1260.0
2021-11-09,29933,2428.0
2021-11-10,28959,1806.0
2021-11-11,5667,403.0
2021-11-12,34703,939.0
2021-11-13,14337,942.0
2021-11-14,41487,1622.0
2021-11-15,24129,2053.0
2021-11-16,45251,3015.0
2021-11-17,36921,1029.0
2021-11-18,38307,605.0
2021-11-19,32355,447.0
2021-11-20,42732,1855.0
2021-11-21,9835,333.0
2021-11-22,25159,1714.0
2021-11-23,43810,2406.0
2021-11-24,45080,1530.0
2021-11-25,43088,1009.0
2021-11-26,18216,390.0
2021-11-27,40547,3560.0
2021-11-28,36471,1163.0
2021-11-29,22308,1531.0
2021-11-30,32532,2698.0
2021-12-01,39349,2568.0
2021-12-02,10713,935.0
2021-12-03,9804,444.0
2021-12-04,15136,1453.0
2021-12-05,5009,110.0
2021-12-06,24255,465.0
2021-12-07,28793,1994.0
2021-12-08,34548,3277.0
2021-12-09,42892,3551.0
2021-12-10,6015,101.0
2021-12-11,32712,1149.0
2021-12-12,39961,3745.0
2021-12-13,13415,439.0
2021-12-14,28833,2315.0
2021-12-15,9158,771.0
2021-12-16,25309,1381.0
2021-12-17,11970,535.0
2021-12-18,11938,603.0
2021-12-19,26168,796.0
2021-12-20,25384,2285.0
2021-12-21,23017,1163.0
2021-12-22,15344,1372.0
2021-12-23,45034,878.0
2021-12-24,13702,1355.0
2021-12-25,5384,268.0
2021-12-26,5404,77.0
2021-12-27,45943,616.0
2021-12-28,34189,2637.0
2021-12-29,17763,1231.0
2021-12-30,23384,1921.0
2021-12-31,37606,732.0
2022-01-01,14860,196.0
2022-01-02,43757,2440.0
2022-01-03,20106,902.0
2022-01-04,28574,1473.0
2022-01-05,28524,2830.0
2022-01-06,8636,840.0
2022-01-07,15916,1508.0
2022-01-08,9809,790.0
2022-01-09,37201,1560.0
2022-01-10,18456,869.0
2022-01-11,43765,2602.0
2022-01-12,39816,3374.0
2022-01-13,22100,357.0
2022-01-14,26949,1298.0
2022-01-15,9544,166.0
2022-01-16,42744,2407.0
2022-01-17,47783,4343.0
2022-01-18,31657,2545.0
2022-01-19,41187,1256.0
2022-01-20,12239,1197.0
2022-01-21,19489,1365.0
2022-01-22,48125,526.0
2022-01-23,33538,1106.0
2022-01-24,37049,1239.0
2022-01-25,42131,683.0
2022-01-26,47944,4621.0
2022-01-27,13427,712.0
2022-01-28,46348,4200.0
2022-01-29,29285,1142.0
2022-01-30,42626,906.0
2022-01-31,47808,2519.0
2022-02-01,27928,565.0
2022-02-02,24198,1300.0
2022-02-03,24758,2298.0
2022-02-04,20254,1151.0
2022-02-05,49238,3224.0
2022-02-06,6252,150.0
2022-02-07,44764,623.0
2022-02-08,17173,342.0
2022-02-09,42441,2710.0
2022-02-10,31698,588.0
2022-02-11,20781,911.0
2022-02-12,18051,1074.0
2022-02-13,44649,2008.0
2022-02-14,11949,295.0
2022-02-15,47289,1638.0
2022-02-16,13017,1217.0
2022-02-17,11941,845.0
2022-02-18,30934,1690.0
2022-02-19,28386,316.0
2022-02-20,15209,1510.0
2022-02-21,22715,1599.0
2022-02-22,33920,1306.0
2022-02-23,36703,3271.0
2022-02-24,47318,1573.0
2022-02-25,9637,568.0
2022-02-26,9854,662.0
2022-02-27,48088,1437.0
2022-02-28,42660,4183.0
2022-03-01,44811,3465.0
2022-03-02,24856,1496.0
2022-03-03,26833,704.0
2022-03-04,24963,370.0
2022-03-05,41932,1627.0
2022-03-06,32169,2502.0
2022-03-07,12941,443.0
2022-03-08,19388,1135.0
2022-03-09,10569,798.0
2022-03-10,9300,183.0
2022-03-11,44037,3156.0
2022-03-12,41586,759.0
2022-03-13,17015,1648.0
2022-03-14,11254,607.0
2022-03-15,22144,521.0
2022-03-16,29214,1192.0
2022-03-17,45118,2129.0
2022-03-18,20183,1579.0
2022-03-19,11238,864.0
2022-03-20,11090,721.0
2022-03-21,16637,324.0
2022-03-22,27415,648.0
2022-03-23,29071,536.0
2022-03-24,47679,2953.0
2022-03-25,46240,4112.0
2022-03-26,23271,1141.0
2022-03-27,41034,1004.0
2022-03-28,38434,2314.0
2022-03-29,9188,763.0
2022-03-30,15161,1163.0
2022-03-31,33732,3013.0
2022-04-01,16314,571.0
2022-04-02,28954,794.0
2022-04-03,26508,2364.0
2022-04-04,26969,1865.0
2022-04-05,42545,1616.0
2022-04-06,41668,3200.0
2022-04-07,28061,2339.0
2022-04-08,18716,1223.0
2022-04-09,44749,3217.0
2022-04-10,44144,1932.0
2022-04-11,21907,1281.0
2022-04-12,23777,1359.0
2022-04-13,32693,2822.0
2022-04-14,47928,4102.0
2022-04-15,31329,2661.0
2022-04-16,21282,233.0
2022-04-17,28624,2217.0
2022-04-18,28321,2216.0
2022-04-19,15488,1100.0
2022-04-20,27574,2152.0
2022-04-21,10240,878.0
2022-04-22,48221,2523.0
2022-04-23,15478,854.0
2022-04-24,24262,514.0
2022-04-25,9432,421.0
2022-04-26,34721,2357.0
2022-04-27,18568,1489.0
2022-04-28,19178,566.0
2022-04-29,27195,609.0
2022-04-30,5302,369.0
2022-05-01,22022,223.0
2022-05-02,5055,131.0
2022-05-03,13717,173.0
2022-05-04,33699,843.0
2022-05-05,13150,346.0
2022-05-06,7125,319.0
2022-05-07,49247,2275.0
2022-05-08,21748,1928.0
2022-05-09,44577,2492.0
2022-05-10,9621,722.0
2022-05-11,20034,388.0
2022-05-12,10126,306.0
2022-05-13,10122,741.0
2022-05-14,23030,339.0
2022-05-15,22302,1199.0
2022-05-16,24181,1546.0
2022-05-17,43638,2801.0
2022-05-18,6531,78.0
2022-05-19,45940,1791.0
2022-05-20,45441,3057.0
2022-05-21,28333,663.0
2022-05-22,44650,3241.0
2022-05-23,39674,3060.0
2022-05-24,40854,4019.0
2022-05-25,13152,379.0
2022-05-26,43518,3666.0
2022-05-27,15267,867.0
2022-05-28,30289,1320.0
2022-05-29,6062,127.0
2022-05-30,34926,2661.0
2022-05-31,11229,350.0
2022-06-01,9632,418.0
2022-06-02,44056,688.0
2022-06-03,8596,705.0
2022-06-04,49243,3889.0
2022-06-05,11168,849.0
2022-06-06,47563,1757.0
2022-06-07,12561,321.0
2022-06-08,13258,893.0
2022-06-09,21616,1181.0
2022-06-10,31734,826.0
2022-06-11,11371,815.0
2022-06-12,31069,3082.0
2022-06-13,19369,1496.0
2022-06-14,17910,1371.0
2022-06-15,12943,1236.0
2022-06-16,17199,486.0
2022-06-17,20728,1262.0
2022-06-18,28275,2775.0
2022-06-19,11738,292.0
2022-06-20,20913,1527.0
2022-06-21,40240,2523.0
2022-06-22,24123,1514.0
2022-06-23,39529,2877.0
2022-06-24,15167,1420.0
2022-06-25,15554,1251.0
2022-06-26,22260,335.0
2022-06-27,8812,764.0
2022-06-28,33024,1000.0
2022-06-29,32285,1418.0
2022-06-30,31900,1644.0
2022-07-01,6605,351.0
2022-07-02,10622,522.0
2022-07-03,11767,1110.0
2022-07-04,32139,2363.0
2022-07-05,16613,1109.0
2022-07-06,15589,225.0
2022-07-07,18918,1728.0
2022-07-08,25119,2307.0
2022-07-09,32446,2602.0
2022-07-10,18046,191.0
2022-07-11,29818,451.0
2022-07-12,40358,1221.0
2022-07-13,9324,203.0
2022-07-14,15787,724.0
2022-07-15,14111,1312.0
2022-07-16,43110,2262.0
2022-07-17,21389,239.0
2022-07-18,46427,1645.0
2022-07-19,19043,266.0
2022-07-20,33746,447.0
2022-07-21,27350,952.0
2022-07-22,46605,1622.0
2022-07-23,5117,413.0
2022-07-24,23935,2339.0
2022-07-25,18234,791.0
2022-07-26,43328,2105.0
2022-07-27,5846,502.0
2022-07-28,15954,544.0
2022-07-29,18703,450.0
2022-07-30,27700,2403.0
2022-07-31,37043,525.0
2022-08-01,11469,754.0
2022-08-02,35105,2126.0
2022-08-03,47101,1937.0
2022-08-04,31386,1204.0
2022-08-05,41976,3335.0
2022-08-06,44051,783.0
2022-08-07,7048,220.0
2022-08-08,44001,3340.0
2022-08-09,17941,1064.0
2022-08-10,47533,1022.0
2022-08-11,6828,610.0
2022-08-12,6917,314.0
2022-08-13,25618,2164.0
2022-08-14,37254,3013.0
2022-08-15,44756,2962.0
